,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,org_type,org_category
7286,93.0,142842.0,Monarch School Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11015,San Diego,nan,120114.0,5.24,Chief Executive Officer,1702537.0,90.04,238114,17303699,481956.0,91.39,0,1908164,CA,3509701,Education,Youth Education Programs and Services
7287,92.0,667284.0,"Neighborhood House, St. Paul",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7966,St. Paul,nan,134714.0,2.27,President,-535030.0,96.58,470194,14592840,295514.0,93.84,0,4790873,MN,4738073,Human Services,Social Services
7288,89.0,1576670.0,Neighborhood Housing Services of Chicago,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6874,Chicago,nan,173156.0,3.41,President,-804957.0,50.27,669819,-2291621,-47184.0,63.98,0,2829534,IL,2012904,Community Development,Housing and Neighborhood Development
7289,96.0,345440.0,Neighborhood Health Clinic,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11510,Naples,nan,186846.0,6.39,Chief Executive Officer,581454.0,97.82,304058,24688049,434884.0,96.77,0,2271391,FL,2942260,Health,Treatment and Prevention Services
7290,82.0,335690.0,Neighborhood House of Milwaukee,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14297,Milwaukee,nan,83550.0,3.83,Executive Director,113530.0,79.84,160031,2204848,18909.0,80.88,0,1682194,WI,2002753,Human Services,Social Services
7291,89.0,535369.0,Neighborhood Development Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15318,St. Paul,nan,137334.0,4.33,President & CEO,1111679.0,82.42,69726,5265058,-127159.0,85.33,0,2564972,MN,3626995,Community Development,Housing and Neighborhood Development
7292,96.0,210840.0,"Neighborhood House, Louisville",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14422,Louisville,nan,,,Executive Director,-196873.0,90.69,195572,2464216,-3465379.0,92.83,0,1417101,KY,1051876,Human Services,Children's and Family Services
7293,100.0,326401.0,Neighborhood Club,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14631,Grosse Pointe,nan,102879.0,3.28,Executive Director,336874.0,92.5,34153,8082489,462991.0,94.69,0,2772312,MI,421018,Human Services,Social Services
7294,93.0,80980.0,Neighbor to Neighbor,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14343,Greenwich,nan,,,nan,595548.0,96.44,59797,2388380,44168.0,94.44,0,1771137,CT,2463294,Human Services,Social Services
7295,85.0,357076.0,Neighborhood Christian Centers,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15479,Memphis,nan,105000.0,3.49,Chief Executive Officer,527338.0,84.45,192325,3121845,3344.0,84.72,0,2452830,TN,3504880,Human Services,Social Services
7296,85.0,94087.0,The Neighborhood Christian Clinic,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14889,Phoenix,nan,116913.0,7.59,Executive Director,24530.0,92.95,98180,1118802,13762.0,88.28,0,1346246,AZ,1217234,Health,Treatment and Prevention Services
7297,62.0,184688.0,Neighbor For Neighbor,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12534,Tulsa,nan,83371.0,2.69,Executive Director,-465486.0,92.48,54480,4185353,65122.0,72.6,0,2852366,OK,2516031,Human Services,Social Services
7298,89.0,386088.0,NEED,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11099,Pittsburgh,nan,128524.0,6.99,Chief Executive Officer,88346.0,75.88,135360,4233702,94946.0,81.25,0,1315977,PA,1691564,Education,Youth Education Programs and Services
7299,93.0,747345.0,Nebraska Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4212,Omaha,nan,184122.0,1.61,Executive Director,-633618.0,92.97,872478,29762014,222207.0,92.98,0,9764650,NE,4621473,Animals,"Animal Rights, Welfare, and Services"
7300,100.0,143170.0,Nehemiah Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12784,Houston,nan,89996.0,5.19,Executive Director,-152249.0,86.87,260884,2007756,-47790.0,90.71,0,1327069,TX,1421749,Religion,Religious Activities
7301,100.0,78283.0,Need Him Global,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11591,Dallas,nan,58938.0,4.54,"President, CEO",53548.0,72.02,242008,544574,-227651.0,80.21,0,977890,TX,1579380,Religion,Religious Media and Broadcasting
7302,96.0,1126998.0,Nebraska Children and Families Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15059,Lincoln,nan,124146.0,0.89,President,3914524.0,97.5,268561,34341057,158152.0,96.66,0,12533163,NE,17685094,Human Services,Children's and Family Services
7303,85.0,207701.0,Nebraska AIDS Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9236,Omaha,nan,,,nan,-81928.0,83.72,12806,407401,-35321.0,84.34,0,1343546,NE,1517446,Health,"Diseases, Disorders, and Disciplines"
7304,77.0,53458.0,Neat Stuff,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10379,Miami,nan,83077.0,8.74,Executive Director,11489.0,100.0,33855,1597238,25358.0,83.73,0,862525,FL,935969,Human Services,Social Services
7305,96.0,213273.0,Nebraska Humanities Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8110,Lincoln,nan,91577.0,4.53,Executive Director,-530320.0,83.25,138969,182118,11664.0,87.82,0,1666056,NE,1442342,"Arts, Culture, Humanities",Performing Arts
7306,93.0,427302.0,Near East Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5993,Syracuse,nan,164830.0,1.68,President,1122430.0,90.0,348000,5923610,122000.0,91.36,0,9002442,NY,10778174,International,Development and Relief Services
7307,85.0,60438.0,Near West Theatre,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15264,Cleveland,nan,56100.0,5.07,Executive Director,-315615.0,97.41,98795,6547594,185547.0,89.23,0,947014,OH,411818,"Arts, Culture, Humanities",Performing Arts
7308,100.0,240876.0,NEADS World Class Service Dogs,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5143,Princeton,nan,129731.0,5.35,CEO,-102999.0,89.1,183391,6582838,10719.0,92.29,0,1996138,MA,1970726,Animals,"Animal Rights, Welfare, and Services"
7309,100.0,935632.0,The NEA Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4180,Washington,nan,250587.0,3.49,President & CEO,1007564.0,92.45,389124,46296150,2049920.0,94.66,0,5851854,DC,6134254,Education,Education Policy and Reform
7310,74.0,357388.0,NCTA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5937,Granbury,nan,79800.0,1.01,President,-314524.0,90.83,189293,23187733,51664.0,80.5,0,7348409,TX,6141089,Education,Youth Education Programs and Services
7311,43.0,150880.0,NC WARN,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17137,Durham,nan,78851.0,3.96,Executive Director,176224.0,97.5,36829,1076742,5100.0,59.65,0,1798813,NC,2157646,Environment,Environmental Protection and Conservation
7312,93.0,504706.0,NDI New Mexico,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15057,Santa Fe,nan,169033.0,2.88,Executive Director,-694292.0,92.41,677665,36294462,967357.0,92.69,0,4678740,NM,2434427,Education,Youth Education Programs and Services
7313,89.0,385821.0,Mississippi Center for Justice,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11095,Jackson,nan,170475.0,3.75,"President, CEO",-1887312.0,85.87,424117,1086820,-13471.0,87.33,0,3735549,MS,2519947,Human and Civil Rights,Advocacy and Education
7314,74.0,75256.0,Missionary Maintenance Service Aviation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14147,Coshocton,nan,,,President & CEO,35253.0,97.5,97860,1096886,24382.0,81.53,0,1586960,OH,1770947,Religion,Religious Activities
7315,86.0,213785.0,NCSL Foundation for State Legislatures,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14660,Denver,nan,,,Executive Director,-25807.0,79.44,440769,445737,0.0,82.41,0,2603643,CO,2396550,Research and Public Policy,Social and Public Policy Research
7316,97.0,318603.0,Nebraska Lutheran Outdoor Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7056,Ashland,nan,87807.0,2.67,Executive Director,586432.0,90.75,283298,6536691,148529.0,93.12,0,2679905,NE,2370225,Religion,Religious Activities
7317,66.0,344402.0,Missionary Flights International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12966,Fort Pierce,nan,75061.0,1.84,President,-6815.0,88.99,66406,2386993,-32632.0,74.72,0,3662996,FL,2505078,Religion,Religious Activities
7318,66.0,237007.0,Mission: Hope,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17380,Atlanta,nan,62000.0,2.57,Chief Executive Officer,-177871.0,94.94,159733,435677,16691.0,75.69,0,2013466,GA,2215644,International,Development and Relief Services
7319,82.0,457325.0,Missionary Athletes International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5203,Matthews,nan,29779.0,0.96,President,119281.0,86.56,170238,1338188,3763.0,84.11,0,2471440,NC,2749324,Religion,Religious Activities
7320,84.0,70494.0,Mission Year,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14488,Chicago,nan,65000.0,8.85,Executive Director,-28137.0,71.74,100430,229859,24406.0,77.03,0,563198,IL,359419,Religion,Religious Activities
7321,96.0,416554.0,Mission of Mercy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17253,Gettysburg,nan,100000.0,1.48,Chief Executive Officer,305937.0,91.92,471182,1889886,33427.0,93.62,0,5868217,PA,7027827,Health,Treatment and Prevention Services
7322,78.0,42761.0,Mission Without Borders,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4115,Camarillo,nan,,,"President, CEO",-3264.0,82.5,58974,101560,0.0,80.12,0,745946,CA,844417,International,Development and Relief Services
7323,55.0,119649.0,Mission Medical Clinic,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13386,Colorado Springs,nan,,,nan,-367821.0,87.5,1000,850248,0.0,66.97,0,1003300,CO,756128,Health,Treatment and Prevention Services
7324,77.0,118627.0,Mission to Haiti,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7231,Miami,nan,14380.0,2.13,"President, Executive Director",79508.0,79.06,25507,328160,0.0,78.0,0,528951,FL,752593,International,Development and Relief Services
7325,82.0,141506.0,Mission of Hope,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14911,Knoxville,nan,99569.0,3.54,Executive Director,-19084.0,87.5,121451,2057208,127152.0,84.5,0,2544194,TN,2660915,Human Services,Children's and Family Services
7326,62.0,289955.0,Mission SOLANO,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17316,Fairfield,nan,43587.0,1.32,Executive Director,36741.0,79.93,297917,3871351,12470.0,69.61,0,2694903,CA,2693127,Human Services,Homeless Services
7327,89.0,437223.0,Mission Eurasia,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4317,Wheaton,nan,118926.0,2.19,President,616577.0,92.1,215530,2398149,212273.0,90.42,0,4770695,IL,5825846,Religion,Religious Activities
7328,85.0,87106.0,Mission Possible,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15260,Findlay,nan,52000.0,4.02,President,-159836.0,90.64,82070,1637732,131238.0,87.49,0,1121584,OH,999686,Religion,Religious Activities
7329,62.0,205946.0,Missionary Aviation Repair Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13435,Soldotna,nan,73600.0,3.01,Executive Director,-128829.0,94.61,167291,1690777,-31998.0,72.86,0,2067608,AK,2168429,Religion,Religious Activities
7330,61.0,231158.0,Mission Blue,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17289,Napa,nan,77987.0,6.3,Executive Director,600772.0,88.98,82445,1125399,56.0,71.34,0,923812,CA,1590299,Environment,Environmental Protection and Conservation
7331,78.0,282752.0,The Mission at Kern County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9803,Bakersfield,nan,66335.0,1.86,Executive Director,-12367.0,88.48,395716,3153467,87413.0,82.43,0,2884787,CA,3206008,Human Services,Homeless Services
7332,85.0,173879.0,Mission Granbury,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16533,GRANBURY,nan,34333.0,2.94,Executive Director,-50395.0,84.37,95313,1258459,67637.0,84.68,0,895810,TX,1046970,Human Services,Social Services
7333,96.0,166439.0,Mission Arlington/Mission Metroplex,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8073,Arlington,nan,,,Executive Director,1936820.0,95.05,8168,26309974,758913.0,95.49,0,3246818,TX,4599332,Religion,Religious Activities
7334,93.0,5789669.0,Misericordia,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4113,Chicago,nan,70637.0,0.1,Executive Director and Treasurer,22651273.0,96.39,2790598,597683049,12307829.0,94.43,0,57321825,IL,30563742,Human Services,Social Services
7335,96.0,443419.0,Mises Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6221,Auburn,nan,168896.0,4.69,President,257761.0,82.14,456365,19106505,486152.0,87.05,0,2700568,AL,3232426,Research and Public Policy,Social and Public Policy Research
7336,44.0,220774.0,Misaskim,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16375,Brooklyn,nan,30000.0,1.85,President,-185949.0,69.36,180099,-1053376,0.0,54.86,0,1212168,NY,1427092,Religion,Religious Activities
7337,100.0,216715.0,Mission Waco Mission World,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7884,Waco,nan,50173.0,1.93,"President, Executive Director",75824.0,92.96,104737,3121946,247981.0,95.02,0,2272484,TX,2108150,Religion,Religious Activities
7338,100.0,186955.0,Miriam's Kitchen,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12105,Washington,nan,131800.0,3.26,CEO,-266608.0,86.87,420995,1737815,17284.0,90.71,0,3433585,DC,2939827,Human Services,Homeless Services
7339,100.0,115759.0,Miracle Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11895,Austin,nan,156360.0,6.88,President,494270.0,89.42,300789,1939308,18328.0,92.51,0,1854105,TX,2595690,International,Development and Relief Services
